brand,mean_sale_price,cluster
& other stories,41.5,3
0,25.0,3
003,175.0,2
1. state,17.5,1
12 pm by mon ami,8.0,5
212 collection,16.0,1
22 december,30.0,3
3.1 phillip lim,63.333333333333336,4
3.1 phillip lim for target,35.333333333333336,3
32 degrees,16.0,1
332,109.0,2
41 hawthorn,18.0,1
4sienna,28.0,3
525,65.0,4
525 america,13.0,1
5th & love,18.0,1
62334,129.0,2
a la carte,30.0,3
a new day,13.833333333333334,1
a pea in the pod,24.5,3
a&n luxe,275.0,2
a'gaci,22.5,1
a'reve,23.0,3
a.f. vandervorts,70.0,4
a.l.c.,103.33333333333333,2
a.n.a,7.0,5
aa studio,10.5,5
aakaa,40.0,3
ab studio,12.0,1
abercrombie & fitch,24.476190476190474,3
abyss by abby,118.33333333333333,2
ace & jig,156.66666666666666,2
adam,25.0,3
adam levine collection,11.5,5
adelyn rae,42.5,3
adidas,31.857142857142858,3
adidas by stella mccartney,50.0,4
adrianna papell,46.64,4
adrienne nicoles,15.0,1
aerie,18.5,1
aeropostale,4.5,5
agb,27.0,3
agnes & dora,16.3125,1
aida coronado,104.5,2
aidan mattox,53.5,4
akira,17.8,1
akris,267.0,2
alberto makali,20.0,1
ale by alessandra,50.0,4
alex evenings,45.833333333333336,4
alex marie,35.0,3
alexander mcqueen,300.0,2
alexander wang,69.75,4
alexis,232.5,2
alfani,7.5,5
alfred angelo,21.0,1
alfred sung,15.0,1
ali ro,38.0,3
alice & you,16.0,1
alice + olivia,70.05882352941177,4
alice mccall,100.0,2
aliober,10.0,5
alison andrews,10.0,5
alkii,4.0,5
all for color,13.0,1
all saints,54.0,4
allison brittney,15.0,1
almatrichi,39.0,3
almost famous,14.0,1
altar'd state,26.666666666666668,3
alternative apparel,12.0,1
altuzarra for target,89.0,4
aluna levi,20.0,1
alya,15.666666666666666,1
alyce paris,160.0,2
alyx,19.333333333333332,1
amanda lane,40.0,3
amanda uprichard,60.75,4
ambiance,25.0,3
american apparel,12.285714285714286,1
american dream,7.0,5
american eagle outfitters,12.88888888888889,1
american living,32.666666666666664,3
american rag,19.6,1
amma designs,80.0,4
amour vert,55.5,4
amuse society,23.333333333333332,3
andjela boutique,25.0,3
andrew marc,52.666666666666664,4
angela,10.0,5
angl,21.666666666666668,1
animale,35.0,3
anine bing,175.0,2
anling fashion,10.0,5
ann ferriday,20.0,1
ann taylor,25.594594594594593,3
ann taylor factory,16.333333333333332,1
anna scholz,20.0,1
anna sui,72.83333333333333,4
anna sui for target,115.0,2
annabelle,29.0,3
anne klein,14.75,1
anthology,20.0,1
anthropologie,60.152091254752854,4
antibes blanc,23.0,3
antonio melani,24.125,3
aphratti,18.0,1
april cornell,10.0,5
april spirit,33.5,3
apt. 9,15.555555555555555,1
aqua,14.333333333333334,1
arbor,13.0,1
arden b,15.0,1
are you am i,86.0,4
areve,17.0,1
aritzia,39.666666666666664,3
arizona jean company,15.0,1
ark & co,25.0,3
armani exchange,17.5,1
arueh,15.0,1
aryeh,11.0,5
aryn k,23.0,3
as u wish,15.666666666666666,1
ascend,12.0,1
ashes & ivy,10.0,5
ashley stewart,21.2,1
asos,25.96153846153846,3
asos curve,36.05555555555556,3
asos maternity,20.2,1
asos petite,20.5,1
astr,37.5625,3
athleta,23.852941176470587,3
attention,13.0,1
attitudes by renee,16.0,1
audrey 3+1,12.0,1
august morgan,35.0,3
auguste the label,47.0,4
autumn elegance,20.0,1
auw,25.0,3
ava & aiden,32.0,3
ava & viv,12.666666666666666,1
ava sky,30.0,3
ava viv,20.0,1
avec les filles,62.0,4
avenue,9.8,5
ax paris,10.0,5
azazie,55.0,4
b darlin,14.571428571428571,1
b. smart,18.0,1
b.darlin,25.0,3
b2 jasmine,48.0,4
ba&sh,72.0,4
babeyond,35.0,3
baby phat,10.0,5
badgley mischka,77.75,4
bahari group,16.0,1
bailey 44,19.285714285714285,1
bailey blue,10.0,5
balmain,140.0,2
banana republic,20.483516483516482,1
banana republic factory,10.0,5
band of gypsies,28.2,3
banff,50.0,4
bar iii,16.5,1
bardot,50.30769230769231,4
barefoot dreams,40.0,3
bari jay,26.0,3
bariano australia,100.0,2
barneys new york co-op,37.0,3
bb dakota,27.0,3
bcbg,26.0,3
bcbgeneration,24.46153846153846,3
bcbgmaxazria,45.97872340425532,4
bd the label,50.0,4
beach riot,50.0,4
beachlunchlounge,18.333333333333332,1
beaufille,45.0,4
bebe,29.45945945945946,3
bebop,11.5,5
bec & bridge,75.0,4
beige by eci,10.5,5
bellamie,25.0,3
bellanblue,55.0,4
belle poque,20.0,1
bernie dexter,40.0,3
bess,11.5,5
betabrand,35.0,3
beth ditto,12.0,1
bethany mota,15.0,1
betsey johnson,31.074074074074073,3
betsy & adam,40.5,3
bettie page,29.0,3
bhldn,195.0,2
bill levkoff,10.0,5
billabong,41.0,3
billy t,50.0,4
birdy grey,55.0,4
birnbaum & bullock,250.0,2
bisou bisou,21.0,1
bl-nk,75.0,4
black halo,109.5,2
blackmilk,55.0,4
blair house boutique,45.0,4
blessed are the meek,35.0,3
blithe,35.0,3
bll nyc,25.0,3
bloomingdale's,10.0,5
blue bird,17.0,1
blue spice,10.0,5
blush,23.0,3
blvd,30.0,3
bobi,39.0,3
boden,32.651162790697676,3
boheme atelier,58.0,4
boohoo,15.125,1
boohoo petite,30.0,3
boohoo plus,19.0,1
boston proper,13.25,1
bougee boutique,16.0,1
boujee boutique,18.571428571428573,1
boutique,35.0,3
boutique one-fifteen / peach love ca,28.0,3
boutiquebtbay,48.0,4
bp,32.5,3
brandon maxwell,125.0,2
brandy melville,16.225806451612904,1
breeze ever,20.0,1
british lady,40.0,3
brixon ivy,39.0,3
brochu walker,89.0,4
bronx & banco,150.0,2
brooks brothers,32.875,3
bubu,5.0,5
buckle,19.0,1
buddy love,42.666666666666664,3
burberry,108.28571428571429,2
by & by,29.0,3
by the way.,32.5,3
byer too,13.5,1
byron lars,140.0,2
c,24.0,3
c.c. boutique,20.0,1
c.o.c.,35.0,3
c/meo collective,25.0,3
cabi,28.333333333333332,3
cacharel,45.0,4
cache,35.0,3
cachet,40.0,3
cakeworthy,20.0,1
california costume,16.0,1
california costumes,20.0,1
california girl,25.0,3
california woman,16.0,1
calvin klein,24.95967741935484,3
calvin klein collection,18.0,1
calypso st. barth,80.0,4
camilla,96.0,2
camille la vie,56.666666666666664,4
candalite,14.0,1
candie's,14.0,1
caranola,18.0,1
carly jean los angeles,23.0,3
carmen marc valvo,31.666666666666668,3
carolina herrera,162.0,2
carols boutique,24.0,3
casche,45.0,4
caslon,17.333333333333332,1
casual corner,20.0,1
catch me,18.0,1
cath kidston,30.0,3
catherine malandrino,55.0,4
catherines,5.5,5
cato,8.0,5
caution to the wind,15.0,1
cbazaar,37.5,3
cece,18.666666666666668,1
ces femme,20.0,1
chadwicks,25.0,3
chaiken,9.0,5
champagne and strawberry,30.0,3
chanel,283.3333333333333,2
chaps,22.571428571428573,1
charlotte russe,14.636363636363637,1
charme u,31.0,3
charming charlie,9.75,5
charo ruiz,80.0,4
charter club,13.0,1
chelsea & theodore,35.0,3
chelsea & violet,31.5,3
chelsea28,22.0,1
cherish,18.25,1
cherry & grace,14.0,1
chetta b,20.5,1
cheyenne,50.0,4
chi chi london,42.0,3
chiara boni,126.25,2
chic^threads,58.0,4
chicanary vintage inspired,31.0,3
chicbomb,28.0,3
chico's,20.5,1
chicwish,35.0,3
choosy,20.0,1
christina love,23.0,3
christy dawn,105.2,2
ciao couture,56.0,4
cinderella,33.0,3
cinq a sept,70.33333333333333,4
city chic,37.19047619047619,3
city streets,7.0,5
city studio,27.0,3
city triangles,24.0,3
clad & cloth,25.0,3
cleobella,75.0,4
clinique,11.0,5
clio,10.0,5
clmbrynm,13.0,1
cloth & stone,25.0,3
clover canyon,60.0,4
club l,75.0,4
club monaco,28.75,3
co nursing wear,9.5,5
coach,72.0,4
coldwater creek,15.25,1
collectif,30.666666666666668,3
columbia,19.25,1
connected apparel,21.133333333333333,1
conscious clothing,125.0,2
converse,14.5,1
coogi,30.0,3
copper key,9.0,5
cos,33.666666666666664,3
cotton on,19.0,1
courrèges,45.0,4
cozy casual,20.0,1
cq by cq,5.0,5
cralove,18.0,1
crazy train,12.0,1
crescent,20.5,1
cristinalove,9.0,5
crown & ivy,21.5,1
cry baby,15.0,1
csc studio,10.0,5
cupcakes & cashmere,50.0,4
current air,40.0,3
custom,75.0,4
cut loose,22.0,1
cy,15.0,1
cynthia ashby,55.0,4
cynthia rowley,19.1,1
cynthia steffe,30.0,3
dainty hooligan,14.0,1
dainty jewells,22.0,1
daisland,18.0,1
daisys boutique,34.0,3
dakini,35.0,3
dana buchman,11.833333333333334,1
dancing queen,20.0,1
daniel & rebecca,29.0,3
danny & nicole,22.75,3
danskin,34.0,3
dave & johnny,40.0,3
davi & dani,31.0,3
david lerner,28.0,3
david meister,33.5,3
david's bridal,59.5,4
daydream,28.0,3
daytrip,8.0,5
db sport,17.0,1
dc comics,20.0,1
deb,15.0,1
delia*s,6.0,5
democracy,40.0,3
denim & supply ralph lauren,28.666666666666668,3
depending on the horizon,7.0,5
derek heart,7.0,5
derek lam,167.5,2
des feli,52.25,4
design history,12.0,1
desigual,27.6,3
devided,15.0,1
diane freis,100.0,2
diane von furstenberg,54.810810810810814,4
diane von furstenberg vintage,40.0,3
dickies,25.0,3
dimity bourke,39.0,3
dior,500.0,2
discount universe,80.0,4
discreet,12.0,1
disney,28.0,3
divided,7.5,5
dj-jaz,64.0,4
djt,15.0,1
dkny,28.333333333333332,3
dna,40.0,3
do & be,40.0,3
doctor who,14.0,1
doe & rae,9.0,5
doen,138.8,2
dolce & gabbana,133.0,2
dolce vita,29.0,3
dollface,20.0,1
